,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,Total Investment Costs
69,24,184.223714717528,10.0,0.1769089962246509,319.0355092534596,1.5,0.0709618907480521,122.07942035565742,1.0,0.1802733275237118,268.4342876827045,10.0,0.3528948120280937,147.0607084614594,1.0,0.9768064174455288,4.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069,2507360957.3493423,0,0.0,0.0,2.1867031964920915,0.0
70,19,168.53521550473798,1.0,0.1840126335225916,167.29730811689348,1.0,0.4180045093792029,67.40093821883687,1.5,0.0117804603775756,222.44819677184245,1.0,0.6791742737576506,107.25944143096524,1.0,0.6730750028072982,2.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070,4120838549.587098,0,0.0,0.0,5.085716297101741,0.0
81,103,60.65677295643996,1.5,0.8822664188261503,35.79631944031641,10.0,0.6952933769977525,124.06889590878772,10.0,0.0009946126166869,338.9441416671624,1.0,0.6854259047395133,97.16818688915583,1.0,0.4829375257918373,1.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081,2384480589.4756484,0,0.0,0.0,3.556350273334548,0.0
85,28,201.65309127980123,10.0,0.207260986682499,183.8022303426469,10.0,0.446551346973425,44.04986726697361,10.0,0.0677807784074188,269.9376042258516,1.5,0.3375540357234851,52.27770722121281,10.0,0.006081312044394,4.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085,3497622132.853607,0,0.0,0.0,4.224690524281263,0.0
93,92,43.68804877622681,1.5,0.764964204721604,139.36751922297242,1.5,0.6744753860065086,98.94645229950773,10.0,0.1862590284168636,113.46524913327946,1.5,0.3348081590633945,179.0598013230974,1.5,0.2978646063770921,4.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,1300293862.5258172,0,0.0,0.0,2.6002397992629485,0.0
96,81,321.8977035536556,1.5,0.4273858468775682,340.7017839026522,1.0,0.1952087387107929,330.84340606983505,1.0,0.1240455582045165,102.89233998650228,10.0,0.5355573542869989,55.51747476626766,1.5,0.7038947654622659,2.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096,2836007302.6194844,0,0.0,0.0,4.287292520524833,0.0
106,71,320.18704397119944,1.5,0.7712192256811546,196.4072179065023,1.5,0.1603464780266273,49.772648537885296,10.0,0.0581558066736704,124.3106547865696,10.0,0.6174956622007938,30.928975594399983,10.0,0.2762221835822609,3.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106,2418244865.2025914,0,0.0,0.0,3.876677920949243,0.0
113,73,36.85461998236653,1.5,0.1954936260587204,187.2932028853652,10.0,0.2138098831705709,247.170446946251,1.0,0.0278299713684053,143.34558014615465,1.5,0.2121236844982311,306.7213173809293,10.0,0.7420710159206657,1.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113,5258903847.655096,0,0.0,0.0,5.488504317032494,0.0
116,123,220.74003747772105,10.0,0.2671068410753341,155.32717710802427,1.0,0.4259585609577241,104.59314604846708,10.0,0.0365610143420813,201.28281214881707,1.0,0.4123163404468251,149.34815984916892,1.5,0.9934842359320446,2.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,4992188644.843314,0,0.0,0.0,5.093890766051816,0.0
117,106,100.8642485677653,1.0,0.1880364331479088,316.3462369286643,10.0,0.6723316542498785,327.850143102156,1.5,0.2036550690563019,66.30705035979338,1.0,0.8256575628535807,331.048199363747,1.5,0.983506264594663,2.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117,3321302212.9123354,0,0.0,0.0,2.7984537529057203,0.0
