A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,Run ID
57,307.4527446603594,1.0,0.7141487451579565,269.2601387157591,10.0,0.1799588274825433,341.0006970189896,1.5,0.0722663222929701,161.76338744886067,10.0,0.0561664653383543,328.39430621207174,1.5,0.2127615572173242,1.5,1.5,4.5,1956
60,253.98263245087944,10.0,0.5794177356513724,181.577933514466,1.5,0.0122808162354044,178.89688999471502,1.0,0.1458286570908187,339.15778957588304,10.0,0.981957688138888,63.84122451310633,10.0,0.4042122005888287,3.5,4.5,4.5,1804
59,209.474096861523,1.5,0.3491546906573013,222.4674454447032,10.0,0.0419690733599153,281.9980867180742,1.5,0.039594088789224,188.8880719901778,1.5,0.2589547472683528,193.92058470022647,10.0,0.3700041133961166,4.5,1.5,1.5,1664
46,328.82248295341543,1.0,0.1831228141094232,209.21564399731037,1.0,0.3026471482092438,106.28264803337784,10.0,0.1878327994760418,270.36432608644304,1.0,0.9632581299834692,59.71009024699617,1.5,0.5947809689689528,3.5,1.5,4.5,1966
61,137.17738295091073,1.5,0.1316430778159489,137.64170913629192,1.5,0.039759557867041,109.355213062218,1.0,0.0242552991430856,293.4002805047372,1.0,0.8204999283884621,70.75758159659188,1.5,0.9326202700370788,4.5,4.5,3.5,1377
73,36.85461998236653,1.5,0.1954936260587204,187.2932028853652,10.0,0.2138098831705709,247.170446946251,1.0,0.0278299713684053,143.34558014615465,1.5,0.2121236844982311,306.7213173809293,10.0,0.7420710159206657,1.5,2.5,4.5,1113
