Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
56371084.53676228,108005387.50442791,61400000.0,4435.4598111652795,0.00536190430410209
3091017675.3810935,108005387.50442791,61400000.0,38030.114600386034,0.2503974654188727
73337977.83605209,108005387.50442791,61400000.0,5777.164355120222,0.015121723923494885
401058577.87150097,108005387.50442791,61400000.0,23051.77583275571,0.03841848382313853
186457159.82471883,108005387.50442791,61400000.0,16065.640286005382,0.02451014188724429
118972278.73074466,108005387.50442791,61400000.0,7061.693687603299,0.013149320704312337
103471890.27994828,108005387.50442791,61400000.0,6699.214403496841,0.008957619239147702
1002756106.1176515,108005387.50442791,61400000.0,57707.32803098027,0.09779846255802711
62534446.96571541,108005387.50442791,61400000.0,2806.9139085275083,0.009807522039185343
91688176.2590329,108005387.50442791,61400000.0,4557.441467028973,0.008279863974955243
786841223.4022355,108005387.50442791,61400000.0,39890.625047690126,0.14569955280644
114150554.70640767,108005387.50442791,61400000.0,4542.561525357976,0.019739618837229474
332722352.43494153,108005387.50442791,61400000.0,13338.799494527015,0.03752415473803188
2319099558.9015045,108005387.50442791,61400000.0,33541.77911909477,0.23537613512659994
54602868.90683844,108005387.50442791,61400000.0,3152.2247203083657,0.006757977723311647
662141938.6814299,108005387.50442791,61400000.0,40557.63303378074,0.067683922481087
369354594.1484288,108005387.50442791,61400000.0,16794.453927462047,0.060498218638894624
2425191571.1343656,108005387.50442791,61400000.0,37826.006329646516,0.24364546678508786
115059377.2608746,108005387.50442791,61400000.0,8749.057290260269,0.016398019105766666
111800998.4117995,108005387.50442791,61400000.0,5587.730321152209,0.02126568790664605
1040626086.1323651,108005387.50442791,61400000.0,22474.10242180044,0.07914974333760083
2306440.7261300967,108005387.50442791,61400000.0,148.72543775174543,0.0001469101869301426
83817702.36674306,108005387.50442791,61400000.0,2709.3536790027965,0.009809363537058007
1209203716.6714597,108005387.50442791,61400000.0,63619.620943074246,0.2372673052504502
